awards|imdbid|oscars
Nominated for 1 Golden Globe. Another 5 nominations.|0304415|none
4 nominations.|0300471|none
Nominated for 1 Golden Globe. Another 1 win & 11 nominations.|0307987|none
Nominated for 2 Golden Globes. Another 10 wins & 26 nominations.|0314331|none
3 wins & 7 nominations.|0348836|none
1 win & 4 nominations.|0316356|none
3 wins & 4 nominations.|0285823|none
9 nominations.|0305711|none
3 wins & 2 nominations.|0338337|none
2 nominations.|0292506|none
3 wins & 5 nominations.|0316465|none
1 win & 8 nominations.|0309698|none
1 win & 8 nominations.|0320691|none
3 nominations.|0313542|none
3 wins & 12 nominations.|0316396|none
4 nominations.|0313911|none
1 win & 9 nominations.|0283426|none
2 wins & 3 nominations.|0327850|none
4 nominations.|0309593|none
Won 1 Oscar. Another 93 wins & 117 nominations.|0335266|won
2 nominations.|0314353|none
Nominated for 1 Golden Globe. Another 4 nominations.|0328589|none
2 wins & 3 nominations.|0306841|none
6 nominations.|0327137|none
4 wins & 7 nominations.|0313443|none
2 nominations.|0337711|none
10 nominations.|0325537|none
4 nominations.|0326900|none
1 nomination.|0263757|none
3 nominations.|0325805|none
N/A|0271668|none
1 win.|0286788|none
5 nominations.|0301470|none
3 nominations.|0138524|none
6 nominations.|0306685|none
Won 1 Oscar. Another 26 wins & 23 nominations.|0340855|won
3 nominations.|0328099|none
2 nominations.|0269347|none
2 nominations.|0338466|none
4 nominations.|0285531|none
1 win & 2 nominations.|0282209|none
N/A|0298814|none
Nominated for 1 Golden Globe. Another 2 wins & 14 nominations.|0337909|none
N/A|0329717|none
8 nominations.|0322589|none
4 wins & 11 nominations.|0191133|none
6 nominations.|0274166|none
2 wins & 8 nominations.|0338188|none
3 nominations.|0264395|none
1 nomination.|0266465|none
8 nominations.|0165982|none
1 win & 5 nominations.|0329028|none
1 nomination.|0245803|none
1 nomination.|0323642|none
1 win & 1 nomination.|0325258|none
2 nominations.|0288045|none
N/A|0326769|none
6 nominations.|0337592|none
1 nomination.|0331468|none
9 nominations.|0318155|none
N/A|0314786|none
3 wins & 8 nominations.|0309530|none
3 nominations.|0289992|none
N/A|0300556|none
Nominated for 1 Oscar. Another 14 wins & 24 nominations.|0310281|nom
4 wins & 12 nominations.|0301181|none
Nominated for 2 Oscars. Another 29 wins & 71 nominations.|0315733|nom
1 nomination.|0264150|none
4 nominations.|0270980|none
N/A|0295289|none
3 nominations.|0295700|none
1 nomination.|0318283|none
N/A|0319524|none
Nominated for 3 Oscars. Another 12 wins & 37 nominations.|0315983|nom
1 win & 3 nominations.|0279111|none
4 wins & 7 nominations.|0251736|none
N/A|0310910|none
Nominated for 3 Oscars. Another 17 wins & 41 nominations.|0335119|nom
2 wins.|0317676|none
2 wins & 18 nominations.|0324133|none
2 nominations.|0266489|none
15 wins & 17 nominations.|0366532|none
2 wins.|0306734|none
Nominated for 1 Oscar. Another 9 wins & 25 nominations.|0318374|nom
Nominated for 1 Oscar. Another 1 win & 5 nominations.|0343121|nom
N/A|0304711|none
N/A|0311110|none
Nominated for 2 Oscars. Another 19 wins & 32 nominations.|0286244|nom
1 win & 4 nominations.|0310357|none
1 nomination.|0318850|none
1 nomination.|0323572|none
11 wins & 9 nominations.|0299930|none
Nominated for 1 Oscar. Another 31 wins & 47 nominations.|0305206|nom
4 wins & 1 nomination.|0309820|none
Won 1 BAFTA Film Award. Another 28 wins & 31 nominations.|0340377|none
3 wins & 5 nominations.|0308383|none
N/A|0338077|none
Won 1 Oscar. Another 47 wins & 31 nominations.|0338135|won
2 wins & 15 nominations.|0339034|none
1 win & 2 nominations.|0199626|none
Nominated for 1 Oscar. Another 14 wins & 45 nominations.|0328538|nom
2 nominations.|0294357|none
Won 1 Oscar. Another 11 wins & 14 nominations.|0317910|won
1 win & 3 nominations.|0377992|none
3 nominations.|0360916|none
1 nomination.|0308508|none
Won 1 Oscar. Another 47 wins & 31 nominations.|0338135|won
N/A|0313792|none
14 nominations.|0330602|none
Nominated for 1 Oscar. Another 24 wins & 13 nominations.|0342172|nom
Nominated for 1 Golden Globe. Another 5 wins & 5 nominations.|0329388|none
